satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary,investment,reward,sanity,experience,efficiency
0.86,0.77,3,271,3,0,0,0,9,0,813,0,263.568088423,9,0.0110701107011
0.2,0.48,4,156,4,1,0,0,4,1,624,1,54.4168329403,16,0.025641025641
0.09,0.84,6,269,4,0,1,0,4,0,1614,0,1.39168005148,24,0.0223048327138
0.87,0.93,4,268,2,0,0,0,4,0,1072,0,15.8946026349,8,0.0149253731343
0.21,0.74,5,141,4,0,0,0,1,2,705,2,2097.05372617,20,0.0354609929078
0.83,0.57,2,222,2,0,0,0,4,1,444,1,22.5297318593,4,0.00900900900901
0.75,0.74,3,186,3,1,0,0,8,1,558,1,29.9227139047,9,0.0161290322581
0.77,0.64,3,190,10,1,0,0,6,1,570,1,35.0051419983,30,0.0157894736842
0.76,0.56,3,255,3,0,0,0,3,1,765,1,1356.97764071,9,0.0117647058824
0.62,0.75,3,149,2,1,0,0,2,1,447,1,10.1854762653,6,0.0201342281879
0.92,0.83,5,270,3,0,0,0,2,0,1350,0,4.97871082507,15,0.0185185185185
0.09,0.97,7,254,4,1,1,0,8,1,1778,1,0.495273545486,28,0.0275590551181
0.5,0.85,5,249,3,1,0,0,1,1,1245,1,2.81682735102,15,0.0200803212851
0.48,1.0,4,261,3,0,0,0,1,0,1044,0,14.9154455485,12,0.0153256704981
0.19,1.0,4,188,4,1,0,0,5,1,752,1,1122.64150943,16,0.0212765957447
0.32,0.69,5,157,4,0,0,0,1,0,785,0,420.784188715,20,0.031847133758
0.7,0.9,5,246,2,0,0,0,3,1,1230,1,6.77285439957,10,0.020325203252
0.17,0.61,3,241,5,1,0,0,2,0,723,0,15810.8108108,15,0.0124481327801
0.44,0.74,4,250,6,0,0,0,8,1,1000,1,19.6073091691,24,0.016
0.37,0.51,2,153,3,0,1,0,7,0,306,0,7.656625496,6,0.0130718954248
0.43,0.5,2,135,3,0,1,0,7,1,270,1,6.78748065805,6,0.0148148148148
0.73,0.78,4,181,4,0,0,0,6,0,724,0,66538.4615385,16,0.0220994475138
0.82,0.66,4,150,3,0,0,0,2,0,600,0,109.361855546,12,0.0266666666667
0.93,0.99,3,169,3,0,0,0,2,0,507,0,39.1599878259,9,0.0177514792899
0.57,0.66,4,151,2,0,0,0,7,0,604,0,100.473569692,8,0.0264900662252
0.69,0.88,3,164,10,0,0,0,9,1,492,1,30.0872351789,30,0.0182926829268
0.39,0.48,2,127,3,0,1,0,1,1,254,1,6.16063751518,6,0.0157480314961
0.77,0.99,4,260,3,0,0,0,4,1,1040,1,18.2998697297,12,0.0153846153846
0.49,0.55,4,268,4,0,0,0,3,2,1072,2,12.6646833829,16,0.0149253731343
0.46,0.5,2,156,3,0,1,0,2,1,312,1,8.3961124849,6,0.0128205128205
0.75,0.51,2,215,2,1,0,0,4,0,430,0,9.78725308159,4,0.0093023255814
0.83,0.54,3,149,3,0,0,0,3,0,447,0,23.0116315624,9,0.0201342281879
0.65,0.85,4,172,3,0,0,0,4,1,688,1,980.975029727,12,0.0232558139535
0.42,0.48,2,143,3,0,1,0,4,0,286,0,7.23566878981,6,0.013986013986
0.77,0.9,4,104,5,0,0,0,7,0,416,0,18.0667551291,20,0.0384615384615
0.39,0.68,2,282,5,0,1,0,5,0,564,0,51.0541394255,10,0.00709219858156
0.25,0.69,3,187,4,0,0,0,5,1,561,1,44.286979628,12,0.0160427807487
0.49,0.72,4,246,3,0,0,0,7,0,984,0,22.9139113585,12,0.0162601626016
0.87,0.96,4,151,3,1,0,0,4,1,604,1,59.8361704851,12,0.0264900662252
0.61,0.74,3,160,3,0,0,0,5,1,480,1,25.9669042934,9,0.01875
0.38,0.57,2,146,3,0,1,0,4,1,292,1,7.22626590564,6,0.013698630137
0.84,0.93,6,166,4,0,0,0,2,0,996,0,25.8100715388,24,0.0361445783133
0.85,0.78,4,106,2,0,0,0,2,0,424,0,19.8869133361,8,0.0377358490566
0.72,0.9,4,225,2,0,0,0,0,0,900,0,58.8195061897,8,0.0177777777778
0.11,0.96,6,298,4,0,1,0,4,0,1788,0,0.989761761669,24,0.0201342281879
0.49,0.92,4,229,2,0,0,0,2,0,916,0,42.6079496711,8,0.0174672489083
0.97,0.82,3,135,2,0,0,0,2,0,405,0,18.7660154129,6,0.0222222222222
0.28,0.37,3,164,4,1,0,0,1,0,492,0,11.393982553,12,0.0182926829268
0.58,0.87,4,181,3,0,0,0,6,1,724,1,60769.2307692,12,0.0220994475138
0.81,1.0,5,143,2,0,0,0,3,0,715,0,9187.81725888,10,0.034965034965
0.76,0.77,4,223,3,0,0,0,6,0,892,0,66.2401204366,12,0.0179372197309
0.78,0.7,4,139,3,0,0,0,6,0,556,0,59.4721015703,12,0.0287769784173
0.76,0.79,5,187,4,0,0,0,0,1,935,1,41.4732426892,20,0.0267379679144
0.43,0.38,3,119,2,0,0,0,4,0,357,0,10.3334899014,6,0.0252100840336
0.92,0.7,3,129,3,0,0,1,9,2,387,3,16.4151669303,9,0.0232558139535
0.59,0.91,4,142,3,1,0,0,3,1,568,1,30.6689298665,12,0.0281690140845
0.67,0.63,3,270,5,0,0,0,4,0,810,0,254.495580616,15,0.0111111111111
0.77,0.5,4,281,2,0,0,0,4,0,1124,0,11.3442631356,8,0.0142348754448
0.57,0.39,4,132,3,0,0,0,7,2,528,2,38.8594624029,12,0.030303030303
0.76,0.86,5,223,5,1,1,0,7,1,1115,1,5.90615918441,25,0.0224215246637
0.6,0.86,6,247,6,0,0,0,7,1,1482,1,2.82181972099,36,0.0242914979757
0.22,0.52,5,109,4,0,0,0,7,0,545,0,36.0339073161,20,0.045871559633
0.59,0.8,3,258,3,1,0,0,6,0,774,0,392.3988154,9,0.0116279069767
0.11,0.89,6,306,4,0,1,0,2,0,1836,0,0.905789709902,24,0.0196078431373
0.65,0.57,3,238,3,0,0,0,0,0,714,0,7300.88495575,9,0.0126050420168
0.61,0.97,3,148,3,0,0,0,8,0,444,0,19.8212395046,9,0.0202702702703
0.3,0.67,3,150,2,0,0,0,2,1,450,1,16.7004958763,6,0.02
0.4,0.54,2,137,3,0,1,0,5,1,274,1,6.7624356361,6,0.014598540146
0.85,0.63,3,167,3,0,0,0,7,1,501,1,35.5871886121,9,0.0179640718563
0.78,0.78,3,252,3,0,0,0,3,1,756,1,2438.35616438,9,0.0119047619048
0.81,0.9,5,238,6,0,1,0,5,0,1190,0,8.51676532312,30,0.0210084033613
0.83,0.5,4,259,2,0,0,0,3,1,1036,1,19.4164456233,8,0.015444015444
0.75,0.77,4,136,3,0,0,0,9,1,544,1,51.1307193362,12,0.0294117647059
0.53,0.97,3,189,3,0,0,0,4,0,567,0,58.2968184416,9,0.015873015873
0.81,0.7,6,161,4,0,1,0,6,1,966,1,32.2236069076,24,0.0372670807453
0.64,0.57,3,179,3,0,0,0,3,1,537,1,44.4866404449,9,0.0167597765363
0.57,0.6,2,163,3,0,0,0,4,1,326,1,9.66689243273,6,0.0122699386503
0.82,0.56,5,180,3,0,0,0,2,0,900,0,62.2392449217,15,0.0277777777778
0.93,0.57,3,141,2,0,0,0,2,0,423,0,20.6115104072,6,0.0212765957447
0.81,0.64,4,213,3,0,0,0,3,1,852,1,119.629874422,12,0.018779342723
0.91,0.97,4,139,3,0,0,0,3,1,556,1,63.8155696625,12,0.0287769784173
0.84,0.74,3,234,3,1,0,0,4,1,702,1,1260.2739726,9,0.0128205128205
0.23,0.88,5,201,3,0,0,0,2,0,1005,0,16.1466059309,15,0.0248756218905
0.48,0.64,4,146,2,0,0,0,5,0,584,0,70.3890421383,8,0.027397260274
0.62,0.82,5,151,5,0,0,0,4,0,755,0,2392.9098966,25,0.0331125827815
0.83,0.62,4,218,3,0,0,0,4,0,872,0,89.4865525672,12,0.0183486238532
0.59,0.94,5,157,7,1,0,0,9,1,785,1,253.426840931,35,0.031847133758
0.11,0.86,6,286,4,0,1,0,3,0,1716,0,1.13943151606,24,0.020979020979
0.87,0.88,5,269,5,0,1,0,2,0,1345,0,4.92809461942,25,0.0185873605948
0.79,0.55,3,147,3,0,0,0,4,1,441,1,21.5805654349,9,0.0204081632653
0.16,0.46,6,240,2,0,0,0,7,0,1440,0,2.29465779926,12,0.025
0.74,0.87,5,264,3,0,0,0,1,2,1320,2,4.98164806661,15,0.0189393939394
0.15,0.91,5,230,3,0,0,0,3,1,1150,1,6.48830412656,15,0.0217391304348
0.5,1.0,4,258,3,0,0,0,4,1,1032,1,16.3380895327,12,0.015503875969
0.86,0.87,3,197,4,1,0,0,3,1,591,1,48.8317143607,12,0.0152284263959
0.15,0.95,4,251,5,0,0,0,3,2,1004,2,15.2064104937,20,0.0159362549801
0.63,0.41,3,180,5,1,0,0,5,1,540,1,22.8150719445,15,0.0166666666667
0.67,0.55,3,217,2,0,0,0,8,2,651,2,274.445357436,6,0.0138248847926
0.87,0.53,6,216,6,1,0,0,4,1,1296,1,2.90833307412,36,0.0277777777778
0.84,0.97,5,251,5,0,1,0,3,1,1255,1,6.65035402292,25,0.0199203187251
0.92,0.76,4,258,2,0,0,0,0,1,1032,1,20.9127546019,8,0.015503875969
0.6,0.83,3,230,3,0,0,0,3,1,690,1,1051.24835742,9,0.0130434782609
0.54,0.53,3,184,3,0,0,0,4,0,552,0,49.1541653367,9,0.0163043478261
0.63,0.82,5,268,3,0,0,0,0,2,1340,2,4.36620397405,15,0.0186567164179
0.64,0.61,4,191,4,0,0,0,6,0,764,0,1337.68352365,16,0.020942408377
0.97,0.63,5,163,3,0,0,0,2,0,815,0,266.324185481,15,0.0306748466258
0.83,0.65,4,162,3,0,0,0,2,0,648,0,278.878390735,12,0.0246913580247
0.83,0.83,3,186,3,1,0,1,5,1,558,2,31.2906093974,9,0.0161290322581
0.69,0.63,3,226,3,0,0,0,4,0,678,0,649.50038432,9,0.0132743362832
0.93,0.98,4,189,10,0,0,0,4,1,756,1,2643.83561644,40,0.021164021164
0.1,0.97,6,267,4,1,1,0,3,0,1602,0,0.721661658772,24,0.0224719101124
0.76,0.98,5,217,6,0,1,0,7,1,1085,1,13.8870258883,30,0.0230414746544
0.86,0.75,5,157,4,0,0,0,3,0,785,0,592.923175008,20,0.031847133758
0.51,0.5,3,147,4,0,0,0,4,1,441,1,18.2048345289,12,0.0204081632653
0.86,0.95,5,275,2,0,0,0,2,1,1375,1,4.45704344659,10,0.0181818181818
0.96,0.62,4,217,2,0,0,0,3,1,868,1,101.438774454,8,0.0184331797235
0.11,0.92,7,307,4,0,1,0,6,0,2149,0,0.550485741675,28,0.0228013029316
0.96,0.63,4,142,4,0,0,0,2,1,568,1,75.6114497338,16,0.0281690140845
0.93,0.79,5,241,4,0,0,0,5,2,1205,2,8.51807553282,20,0.0207468879668
0.46,0.4,3,145,2,0,0,0,3,1,435,1,16.8909147703,6,0.0206896551724
0.52,0.79,5,265,3,1,0,0,3,2,1325,2,2.13953724062,15,0.0188679245283
0.56,0.99,4,230,3,0,0,0,4,2,920,2,42.7608135519,12,0.0173913043478
0.92,0.9,4,203,4,0,0,0,4,1,812,1,278.664731495,16,0.0197044334975
0.4,0.47,2,128,3,0,1,0,4,1,256,1,6.25754257364,6,0.015625
0.72,0.61,3,175,3,0,0,0,4,2,525,2,41.3292644833,9,0.0171428571429
0.65,0.54,6,181,4,0,0,0,8,0,1086,0,12.9462534327,24,0.0331491712707
0.64,0.97,2,226,3,1,0,0,4,1,452,1,10.6868239281,6,0.00884955752212
0.49,0.4,2,148,2,1,0,1,9,2,296,3,3.97354525575,4,0.0135135135135
0.72,0.67,3,243,3,0,0,0,4,0,729,0,1720000.0,9,0.0123456790123
0.69,0.75,4,249,4,0,0,0,0,1,996,1,23.7059896199,16,0.0160642570281
0.9,0.74,3,227,3,0,0,0,4,0,681,0,824.295010846,9,0.0132158590308
0.52,0.84,3,261,8,0,0,1,1,0,783,1,521.083304765,24,0.0114942528736
0.43,0.96,3,109,6,0,0,0,2,0,327,0,8.84873611584,18,0.0275229357798
0.85,0.73,4,174,3,0,0,0,3,0,696,0,1697.24770642,12,0.0229885057471
0.43,0.55,2,136,3,0,1,0,4,0,272,0,6.84701939191,6,0.0147058823529
0.42,0.89,6,188,5,1,0,0,4,0,1128,0,4.45974296805,30,0.031914893617
0.33,0.65,3,172,10,0,0,1,5,2,516,3,29.3145250165,30,0.0174418604651
0.57,0.72,4,214,2,1,0,0,4,0,856,0,48.6670799752,8,0.018691588785
0.36,0.45,2,127,3,0,1,0,1,0,254,0,6.02767411557,6,0.0157480314961
0.38,0.49,2,144,3,0,1,0,0,0,288,0,7.0957723594,6,0.0138888888889
0.63,0.5,4,167,3,1,0,0,2,1,668,1,218.968296615,12,0.0239520958084
0.89,0.99,5,257,5,0,1,0,1,1,1285,1,6.11379420775,25,0.0194552529183
0.55,0.9,4,273,2,1,0,0,4,0,1092,0,5.88146011991,8,0.014652014652
0.09,0.93,6,279,4,0,1,0,2,0,1674,0,1.22056916596,24,0.0215053763441
0.16,0.82,6,202,4,1,0,1,4,1,1212,2,2.48617600412,24,0.029702970297
0.84,0.64,2,211,3,0,0,0,4,1,422,1,19.5225464191,6,0.00947867298578
0.22,0.89,4,262,4,0,0,0,4,2,1048,2,11.9887580826,16,0.0152671755725
0.88,0.82,3,265,3,0,0,0,7,1,795,1,431.489557035,9,0.011320754717
0.88,0.59,6,243,4,0,0,0,8,2,1458,2,3.53754501902,24,0.0246913580247
0.61,0.49,3,275,2,0,0,0,7,0,825,0,174.677226863,6,0.0109090909091
0.09,0.98,6,271,4,0,1,0,4,0,1626,0,1.35469357826,24,0.0221402214022
0.81,0.55,4,217,8,0,0,0,1,1,868,1,93.6756029397,32,0.0184331797235
0.66,0.85,5,271,4,0,0,0,7,0,1355,0,4.23602303784,20,0.0184501845018
0.51,0.79,4,134,3,0,1,0,2,0,536,0,40.5369127517,12,0.0298507462687
0.4,0.53,2,158,3,0,1,0,4,0,316,0,8.20777393446,6,0.0126582278481
0.44,0.51,2,146,3,0,1,0,5,1,292,1,7.5404513798,6,0.013698630137
0.44,0.56,2,131,3,0,1,0,0,1,262,1,6.60277866936,6,0.0152671755725
0.73,0.74,5,230,3,0,0,0,3,0,1150,0,9.76066620778,15,0.0217391304348
0.76,0.98,5,242,5,0,1,0,9,0,1210,0,7.60712649441,25,0.0206611570248
0.77,0.58,2,247,2,1,0,0,8,1,494,1,16.0250606598,4,0.0080971659919
0.72,0.95,5,171,3,0,0,0,3,0,855,0,108.332808465,15,0.0292397660819
0.65,0.63,3,237,3,0,0,0,0,1,711,1,5076.92307692,9,0.0126582278481
0.78,0.98,5,158,2,0,0,0,5,1,790,1,478.237506717,10,0.0316455696203
0.81,0.99,2,156,5,0,0,0,4,1,312,1,10.4088791765,10,0.0128205128205
0.26,0.7,3,238,6,0,0,0,3,1,714,1,5575.22123894,18,0.0126050420168
0.11,0.89,6,268,4,0,1,0,6,1,1608,1,1.43662912448,24,0.0223880597015
0.5,0.6,3,270,3,1,0,0,9,1,810,1,114.294422432,9,0.0111111111111
0.75,0.97,5,243,6,0,1,0,2,1,1215,1,7.40906954788,30,0.0205761316872
0.16,0.9,5,258,3,0,0,0,2,1,1290,1,3.68579254072,15,0.0193798449612
0.45,0.56,2,143,3,0,1,0,7,0,286,0,7.38853503185,6,0.013986013986
0.41,0.56,2,154,3,0,1,1,3,1,308,2,7.95522505952,6,0.012987012987
0.18,0.95,6,248,3,0,0,0,3,0,1488,0,2.04831951007,18,0.0241935483871
0.61,0.95,4,169,4,0,0,0,3,1,676,1,572.953736655,16,0.0236686390533
0.74,1.0,4,199,4,0,0,0,9,2,796,2,387.527839644,16,0.0201005025126
0.85,0.9,3,245,3,0,0,0,5,1,735,1,50000.0,9,0.0122448979592
0.14,0.72,6,100,5,0,0,0,9,0,600,0,68.5013820454,30,0.06
0.9,0.82,3,133,8,0,0,0,5,1,399,1,17.4470390538,24,0.0225563909774
0.45,0.47,2,160,3,0,1,0,4,0,320,0,8.6679977523,6,0.0125
0.5,0.76,4,229,3,1,0,0,2,0,916,0,21.4469545325,12,0.0174672489083
0.09,0.86,6,279,4,0,1,0,4,0,1674,0,1.22056916596,24,0.0215053763441
0.37,0.47,2,152,3,0,1,0,7,0,304,0,7.5847330949,6,0.0131578947368
0.86,0.59,4,189,2,0,0,0,6,0,756,0,2547.94520548,8,0.021164021164
0.4,0.49,2,155,3,0,1,0,0,1,310,1,7.9743908135,6,0.0129032258065
0.66,0.67,2,255,3,0,1,0,2,0,510,0,34.6107334974,6,0.0078431372549
0.97,0.76,3,193,3,0,0,0,8,1,579,1,87.5516643705,9,0.0155440414508
0.53,0.72,3,228,3,0,0,0,4,1,684,1,755.182625864,9,0.0131578947368
0.88,0.58,3,145,8,0,0,0,4,0,435,0,21.7499450467,24,0.0206896551724
0.81,0.77,5,167,4,0,0,0,7,0,835,0,161.075020023,20,0.0299401197605
0.9,0.74,3,260,4,0,0,0,2,2,780,2,730.207532667,12,0.0115384615385
0.59,0.64,5,123,2,0,0,0,7,0,615,0,122.335923675,10,0.0406504065041
0.22,0.69,3,212,3,0,0,0,4,1,636,1,141.040462428,9,0.0141509433962
0.74,0.95,5,266,10,0,0,1,9,2,1330,3,4.81724907393,50,0.0187969924812
0.88,1.0,4,259,5,0,1,0,4,1,1036,1,19.9469496021,20,0.015444015444
0.55,0.68,3,178,3,1,0,0,2,2,534,2,20.3807920896,9,0.0168539325843
0.73,0.5,4,224,4,1,0,0,3,0,896,0,31.0147006095,16,0.0178571428571
0.11,0.79,6,292,4,0,1,1,2,0,1752,1,1.0606480464,24,0.0205479452055
0.11,0.89,6,293,4,0,1,0,3,0,1758,0,1.04831504606,24,0.0204778156997
0.73,0.68,3,121,5,0,0,0,8,0,363,0,12.9145919959,15,0.0247933884298
0.86,0.61,4,221,2,0,0,0,5,1,884,1,77.4161325231,8,0.0180995475113
0.98,0.56,3,139,2,1,0,0,3,0,417,0,10.1700138682,6,0.0215827338129
0.72,0.72,5,265,3,0,0,0,8,2,1325,2,4.84211059718,15,0.0188679245283
0.59,1.0,2,155,5,0,1,0,4,0,310,0,9.05662956676,10,0.0129032258065
0.89,0.81,4,228,4,0,0,0,6,2,912,2,56.4347566438,16,0.0175438596491
0.61,0.89,2,287,4,0,0,0,4,1,574,1,67.0107383668,8,0.00696864111498
0.57,0.69,3,212,8,0,0,0,7,0,636,0,181.502890173,24,0.0141509433962
0.16,0.98,3,232,5,0,0,0,4,1,696,1,1064.22018349,15,0.0129310344828
0.44,0.38,3,197,2,0,0,0,4,1,591,1,75.6103964295,6,0.0152284263959
0.69,0.87,5,174,3,0,0,0,3,1,870,1,85.0015089025,15,0.0287356321839
0.57,0.39,2,145,3,0,0,0,4,1,290,1,8.14644928965,6,0.0137931034483
0.11,0.79,6,247,4,0,1,0,8,1,1482,1,1.95763743144,24,0.0242914979757
0.75,0.89,6,250,2,0,0,0,5,1,1500,1,2.94393733956,12,0.024
0.74,0.63,3,231,3,0,0,0,2,0,693,0,1341.55744025,9,0.012987012987
0.17,0.6,5,144,6,0,0,0,2,1,720,1,14268.2926829,30,0.0347222222222
0.4,0.47,2,136,3,0,1,0,0,1,272,1,6.70337562844,6,0.0147058823529
0.81,0.62,3,240,6,0,0,1,4,0,720,1,22073.1707317,18,0.0125
0.86,0.8,5,134,2,0,0,0,6,0,670,0,534.175761057,10,0.0373134328358
0.23,0.7,3,123,5,0,0,0,4,1,369,1,9.49066751028,15,0.0243902439024
0.58,0.63,4,272,3,0,0,0,2,1,1088,1,12.2592759268,12,0.0147058823529
0.77,0.93,4,231,5,0,1,0,0,1,924,1,46.5470993531,20,0.017316017316
0.42,0.47,2,157,3,0,1,0,1,0,314,0,8.24498043269,6,0.0127388535032
0.35,0.54,3,128,3,0,0,0,3,1,384,1,11.342059718,9,0.0234375
0.53,0.7,4,223,3,0,0,0,4,0,892,0,57.5837410613,12,0.0179372197309
0.58,0.62,3,169,2,0,0,0,4,1,507,1,32.0584356295,6,0.0177514792899
0.86,0.91,4,234,3,1,0,0,4,1,936,1,21.7036172695,12,0.017094017094
0.82,0.81,3,149,3,0,0,0,3,0,447,0,22.8858849418,9,0.0201342281879
0.52,0.76,4,106,2,1,0,0,7,0,424,0,8.16975899211,8,0.0377358490566
0.45,0.53,2,129,3,0,1,0,2,2,258,2,6.53618340981,6,0.015503875969
0.31,0.56,4,238,2,0,1,0,1,1,952,1,26.34224814,8,0.0168067226891
0.36,0.51,2,129,3,0,1,0,3,0,258,0,6.13048926714,6,0.015503875969
0.59,0.75,3,106,2,0,0,0,1,0,318,0,9.41262831366,6,0.0283018867925
0.5,0.74,5,256,3,1,0,0,3,1,1280,1,2.47033945758,15,0.01953125
0.82,0.59,5,170,3,0,0,0,7,0,850,0,124.299959022,15,0.0294117647059
0.76,0.93,4,187,4,0,0,0,5,0,748,0,4861.87845304,16,0.0213903743316
0.37,0.74,5,117,3,0,0,0,7,1,585,1,66.065486811,15,0.042735042735
0.92,0.76,5,132,3,1,0,0,8,0,660,0,201.595968081,15,0.0378787878788
0.73,0.92,6,189,3,1,0,0,4,1,1134,1,5.27355419263,18,0.031746031746
0.66,0.9,3,176,2,1,0,0,7,1,528,1,20.5435374486,6,0.0170454545455
0.32,0.55,4,167,5,0,0,0,3,1,668,1,354.648038689,20,0.0239520958084
0.74,0.64,4,101,6,1,0,0,6,0,404,0,8.23660841081,24,0.039603960396
0.64,0.48,2,157,2,0,0,0,4,1,314,1,9.52237176733,4,0.0127388535032
0.47,0.43,3,120,3,0,0,0,4,2,360,2,10.7959636316,9,0.025
0.73,0.94,3,251,6,0,0,0,4,1,753,1,2998.26689775,18,0.0119521912351
0.95,0.67,4,270,4,0,0,0,3,1,1080,1,15.8276651353,16,0.0148148148148
0.89,0.95,3,246,4,0,0,0,3,0,738,0,23048.7804878,12,0.0121951219512
0.91,0.67,5,137,3,0,0,0,9,1,685,1,986.060918947,15,0.036496350365
0.65,0.81,4,192,3,0,0,0,1,0,768,0,1084.09986859,12,0.0208333333333
1.0,0.59,3,253,3,0,0,0,3,0,759,0,2219.75582686,9,0.0118577075099
0.6,0.71,3,195,2,0,0,0,4,0,585,0,77.156772918,6,0.0153846153846
0.18,0.62,3,165,4,0,0,0,2,1,495,1,21.5497561956,12,0.0181818181818
0.58,0.99,3,207,10,0,0,0,2,0,621,0,135.447921132,30,0.0144927536232
0.71,0.8,3,182,2,1,0,0,2,0,546,0,25.5300089579,6,0.0164835164835
0.1,0.77,6,247,4,0,1,0,4,0,1482,0,1.94000105818,24,0.0242914979757
0.62,0.72,3,188,3,0,0,0,2,0,564,0,59.5019466686,9,0.0159574468085
0.94,0.85,4,180,4,0,0,0,4,1,720,1,23658.5365854,16,0.0222222222222
0.4,0.46,2,156,3,0,1,0,9,1,312,1,8.05106676635,6,0.0128205128205
0.37,0.48,2,160,3,0,1,0,3,0,320,0,8.18976339355,6,0.0125
0.83,0.75,3,150,3,0,0,0,3,0,450,0,23.5091595797,9,0.02
0.58,0.73,3,165,2,0,0,0,2,1,495,1,28.8547582957,6,0.0181818181818
0.87,0.48,4,264,3,0,0,0,6,1,1056,1,17.4880763116,12,0.0151515151515
0.64,0.75,4,170,3,0,0,0,3,1,680,1,682.764363031,12,0.0235294117647
0.48,0.61,2,121,2,0,0,0,8,1,242,1,6.24024960998,4,0.0165289256198
0.97,0.75,5,270,3,1,0,0,4,1,1350,1,2.5541823764,15,0.0185185185185
0.74,0.8,4,241,2,0,0,0,4,1,964,1,31.5068989244,8,0.0165975103734
0.21,0.39,6,132,5,0,0,0,1,1,792,1,304.785894207,30,0.0454545454545
0.37,0.49,2,148,3,0,1,0,4,0,296,0,7.30705637634,6,0.0135135135135
1.0,0.88,4,240,4,0,0,0,4,1,960,1,37.4798545782,16,0.0166666666667
0.38,0.47,2,128,3,0,1,0,4,1,256,1,6.1681491083,6,0.015625
0.89,1.0,5,246,5,0,1,0,4,0,1230,0,7.52982047952,25,0.020325203252
0.74,1.0,4,249,5,0,1,0,6,0,996,0,24.4073502595,20,0.0160642570281
0.83,0.8,5,223,3,0,0,0,2,0,1115,0,12.2821264858,15,0.0224215246637
0.49,0.81,4,233,3,0,0,0,4,0,932,0,36.1562727493,12,0.0171673819742
0.84,0.72,3,256,4,0,0,0,2,1,768,1,1208.93561104,12,0.01171875
0.85,0.58,3,226,2,0,1,0,3,1,678,1,710.991544965,6,0.0132743362832
0.99,0.68,4,235,3,0,0,0,7,0,940,0,44.6970037285,12,0.0170212765957
0.88,0.88,4,222,3,1,0,1,4,1,888,2,37.1806028004,12,0.018018018018
0.11,0.94,6,286,4,0,1,0,6,1,1716,1,1.13943151606,24,0.020979020979
